fqn,name,package,file,line,kind,status,reason
ichiran/characters:*abnormal-chars*,*abnormal-chars*,ichiran/characters,characters.lisp,109,global,ported,
ichiran/characters:*all-characters*,*all-characters*,ichiran/characters,characters.lisp,32,global,ported,
ichiran/characters:*basic-split-regex*,*basic-split-regex*,ichiran/characters,characters.lisp,131,global,ported,
ichiran/characters:*char-class-hash*,*char-class-hash*,ichiran/characters,characters.lisp,37,global,ported,
ichiran/characters:*char-class-regex-mapping*,*char-class-regex-mapping*,ichiran/characters,characters.lisp,136,global,ported,
ichiran/characters:*char-scanners*,*char-scanners*,ichiran/characters,characters.lisp,151,global,ported,
ichiran/characters:*char-scanners-inner*,*char-scanners-inner*,ichiran/characters,characters.lisp,155,global,ported,
ichiran/characters:*dakuten-hash*,*dakuten-hash*,ichiran/characters,characters.lisp,0,global,ported,
ichiran/characters:*dakuten-join*,*dakuten-join*,ichiran/characters,characters.lisp,103,global,ported,
ichiran/characters:*decimal-point-regex*,*decimal-point-regex*,ichiran/characters,characters.lisp,129,global,ported,
ichiran/characters:*digit-regex*,*digit-regex*,ichiran/characters,characters.lisp,128,global,ported,
ichiran/characters:*full-width-kana*,*full-width-kana*,ichiran/characters,characters.lisp,107,global,ported,
ichiran/characters:*half-width-kana*,*half-width-kana*,ichiran/characters,characters.lisp,106,global,ported,
ichiran/characters:*handakuten-hash*,*handakuten-hash*,ichiran/characters,characters.lisp,0,global,ported,
ichiran/characters:*hiragana-regex*,*hiragana-regex*,ichiran/characters,characters.lisp,120,global,ported,
ichiran/characters:*iteration-characters*,*iteration-characters*,ichiran/characters,characters.lisp,5,global,ported,
ichiran/characters:*kana-characters*,*kana-characters*,ichiran/characters,characters.lisp,11,global,ported,
ichiran/characters:*kanji-char-regex*,*kanji-char-regex*,ichiran/characters,characters.lisp,122,global,ported,
ichiran/characters:*kanji-regex*,*kanji-regex*,ichiran/characters,characters.lisp,121,global,ported,
ichiran/characters:*katakana-regex*,*katakana-regex*,ichiran/characters,characters.lisp,118,global,ported,
ichiran/characters:*katakana-uniq-regex*,*katakana-uniq-regex*,ichiran/characters,characters.lisp,119,global,ported,
ichiran/characters:*modifier-characters*,*modifier-characters*,ichiran/characters,characters.lisp,7,global,ported,
ichiran/characters:*nonword-regex*,*nonword-regex*,ichiran/characters,characters.lisp,124,global,ported,
ichiran/characters:*normal-chars*,*normal-chars*,ichiran/characters,characters.lisp,114,global,ported,
ichiran/characters:*num-word-regex*,*num-word-regex*,ichiran/characters,characters.lisp,126,global,ported,
ichiran/characters:*numeric-regex*,*numeric-regex*,ichiran/characters,characters.lisp,125,global,ported,
ichiran/characters:*punctuation-marks*,*punctuation-marks*,ichiran/characters,characters.lisp,85,global,ported,
ichiran/characters:*sokuon-characters*,*sokuon-characters*,ichiran/characters,characters.lisp,3,global,ported,
ichiran/characters:*undakuten-hash*,*undakuten-hash*,ichiran/characters,characters.lisp,0,global,ported,
ichiran/characters:*word-regex*,*word-regex*,ichiran/characters,characters.lisp,127,global,ported,
ichiran/characters:as-hiragana,as-hiragana,ichiran/characters,characters.lisp,282,fn,ported,
ichiran/characters:as-katakana,as-katakana,ichiran/characters,characters.lisp,292,fn,ported,
ichiran/characters:basic-split,basic-split,ichiran/characters,characters.lisp,267,fn,ported,
ichiran/characters:char-class,char-class,ichiran/characters,characters.lisp,147,type,ported,
ichiran/characters:collect-char-class,collect-char-class,ichiran/characters,characters.lisp,201,fn,ported,
ichiran/characters:consecutive-char-groups,consecutive-char-groups,ichiran/characters,characters.lisp,300,fn,ported,
ichiran/characters:count-char-class,count-char-class,ichiran/characters,characters.lisp,194,fn,ported,
ichiran/characters:dakuten-join,dakuten-join,ichiran/characters,characters.lisp,100,fn,ported,
ichiran/characters:destem,destem,ichiran/characters,characters.lisp,340,fn,ported,
ichiran/characters:geminate,geminate,ichiran/characters,characters.lisp,336,fn,ported,
ichiran/characters:get-char-class,get-char-class,ichiran/characters,characters.lisp,52,fn,ported,
ichiran/characters:hash-from-list,hash-from-list,ichiran/characters,characters.lisp,64,macro,ported,
ichiran/characters:join,join,ichiran/characters,characters.lisp,371,fn,ported,
ichiran/characters:kanji-cross-match,kanji-cross-match,ichiran/characters,characters.lisp,222,fn,ported,
ichiran/characters:kanji-mask,kanji-mask,ichiran/characters,characters.lisp,212,fn,ported,
ichiran/characters:kanji-match,kanji-match,ichiran/characters,characters.lisp,220,fn,ported,
ichiran/characters:kanji-prefix,kanji-prefix,ichiran/characters,characters.lisp,306,fn,ported,
ichiran/characters:kanji-regex,kanji-regex,ichiran/characters,characters.lisp,215,fn,ported,
ichiran/characters:long-vowel-modifier-p,long-vowel-modifier-p,ichiran/characters,characters.lisp,54,fn,ported,
ichiran/characters:match-diff,match-diff,ichiran/characters,characters.lisp,347,fn,ported,
ichiran/characters:mora-length,mora-length,ichiran/characters,characters.lisp,275,fn,ported,
ichiran/characters:normalize,normalize,ichiran/characters,characters.lisp,247,fn,ported,
ichiran/characters:rendaku,rendaku,ichiran/characters,characters.lisp,320,fn,ported,
ichiran/characters:safe-subseq,safe-subseq,ichiran/characters,characters.lisp,371,fn,ported,
ichiran/characters:sequential-kanji-positions,sequential-kanji-positions,ichiran/characters,characters.lisp,207,fn,ported,
ichiran/characters:simplify-ngrams,simplify-ngrams,ichiran/characters,characters.lisp,230,fn,ported,
ichiran/characters:split-by-regex,split-by-regex,ichiran/characters,characters.lisp,263,fn,ported,
ichiran/characters:test-word,test-word,ichiran/characters,characters.lisp,187,fn,ported,
ichiran/characters:to-normal-char,to-normal-char,ichiran/characters,characters.lisp,242,fn,ported,
ichiran/characters:unrendaku,unrendaku,ichiran/characters,characters.lisp,308,fn,ported,
ichiran/characters:voice-char,voice-char,ichiran/characters,characters.lisp,91,fn,ported,
ichiran/cli:build,build,ichiran/cli,cli.lisp,102,fn,pending,
ichiran/cli:main,main,ichiran/cli,cli.lisp,48,fn,pending,
ichiran/cli:print-error,print-error,ichiran/cli,cli.lisp,37,fn,skip,"""CLI-only stderr/debugger glue; Rust uses eprintln!/anyhow/panic-hook. Belongs in a future kaniran-cli crate"
ichiran/cli:print-romanize-info,print-romanize-info,ichiran/cli,cli.lisp,44,fn,pending,
ichiran/cli:setup-debugger,setup-debugger,ichiran/cli,cli.lisp,95,fn,skip,"""CLI-only stderr/debugger glue; Rust uses eprintln!/anyhow/panic-hook. Belongs in a future kaniran-cli crate"
ichiran/cli:unknown-option,unknown-option,ichiran/cli,cli.lisp,33,fn,pending,
ichiran/conn:*conn-var-cache*,*conn-var-cache*,ichiran/conn,conn.lisp,41,global,skip,Cache mapping (var . spec) -> value for the per-connection rebinding. Subsumed by per-Ctx field ownership.
ichiran/conn:*conn-vars*,*conn-vars*,ichiran/conn,conn.lisp,39,global,skip,Registry of per-connection-rebound globals. Unneeded once each Ctx owns its caches directly.
ichiran/conn:*connection*,*connection*,ichiran/conn,settings.lisp,3,global,skip,Active connection spec global. State lives on Ctx::pool; constructed via Ctx::from_url or Ctx::from_env.
ichiran/conn:*connection-env-var*,*connection-env-var*,ichiran/conn,conn.lisp,13,global,ported,
ichiran/conn:*connections*,*connections*,ichiran/conn,settings.lisp,5,global,skip,Alist of secondary connection specs. Replaced by call-site Ctx::from_url(...) per database; no global registry.
ichiran/conn:*debug*,*debug*,ichiran/conn,conn.lisp,20,global,skip,Debug-flag global gating dp. Replaced by the tracing crate's filter level.
